"","gene","celltype"
"1032","Fbxo45","eNeuron"
"1033","Stxbp5","eNeuron"
"1034","Hspbp1","eNeuron"
"1035","Ttc19","eNeuron"
"1036","Sybu","eNeuron"
"1037","Pin1","eNeuron"
"1038","Flot1","eNeuron"
"1039","Btbd9","eNeuron"
"1040","Atp6v0a1","eNeuron"
"1041","Mark1","eNeuron"
"1042","Acsl4","eNeuron"
"1043","Mapk9","eNeuron"
"1044","Scai","eNeuron"
"1045","Rtf1","eNeuron"
"1046","Ap2a2","eNeuron"
"1047","Dzank1","eNeuron"
"1048","Rap1gds1","eNeuron"
"1049","Rundc3a","eNeuron"
"1050","Gprasp2","eNeuron"
"1051","Faah","eNeuron"
"1052","Camsap1","eNeuron"
"1053","Cdkl5","eNeuron"
"1054","Mfn2","eNeuron"
"1055","Prrc2b","eNeuron"
"1056","Ppme1","eNeuron"
"1057","Fgfr1op2","eNeuron"
"1058","Abhd12","eNeuron"
"1059","Ggt7","eNeuron"
"1060","Fam126b","eNeuron"
"1061","Cacna1g","eNeuron"
"1062","Sptbn4","eNeuron"
"1063","Kcna2","eNeuron"
"1064","Rnf150","eNeuron"
"1065","Afg3l2","eNeuron"
"1066","Stradb","eNeuron"
"1067","Fam160a2","eNeuron"
"1068","Dlg2","eNeuron"
"1069","Usp2","eNeuron"
"1070","Cpt1c","eNeuron"
"1071","Cyb561","eNeuron"
"1072","Tlk1","eNeuron"
"1073","Mcf2l","eNeuron"
"1074","Nudcd3","eNeuron"
"1075","Zyg11b","eNeuron"
"1076","Map2k4","eNeuron"
"1077","Magi2","eNeuron"
"1078","Spin1","eNeuron"
"1079","Unc79","eNeuron"
"1080","Camsap2","eNeuron"
"1081","Nfe2l1","eNeuron"
"1082","Rbbp7","eNeuron"
"1083","Adrb1","eNeuron"
"1084","Rb1cc1","eNeuron"
"1085","Kif3c","eNeuron"
"1086","Dcaf12l1","eNeuron"
"1087","Rgs2","eNeuron"
"1088","Ube2o","eNeuron"
"1089","Ak1","eNeuron"
"1090","Sgip1","eNeuron"
"1091","Sdc3","eNeuron"
"1092","Src","eNeuron"
"1093","Stim2","eNeuron"
"1094","Cacna1e","eNeuron"
"1095","Nr2f1","eNeuron"
"1096","Actn1","eNeuron"
"1097","Pmepa1","eNeuron"
"1098","Fam57b","eNeuron"
"1099","Prkca","eNeuron"
"1100","Wdr7","eNeuron"
"1101","Lrp1","eNeuron"
"1102","Tbpl1","eNeuron"
"1103","Nars","eNeuron"
"1104","Snx16","eNeuron"
"1105","Chp1","eNeuron"
"1106","Pik3r2","eNeuron"
"1107","Cpsf2","eNeuron"
"1108","Rnf165","eNeuron"
"1109","Glg1","eNeuron"
"1110","Chd5","eNeuron"
"1111","Sestd1","eNeuron"
"1112","Fam168b","eNeuron"
"1113","Arnt2","eNeuron"
"1114","Ptprk","eNeuron"
"1115","Ctnnd2","eNeuron"
"1116","Klhl22","eNeuron"
"1117","Mapre2","eNeuron"
"1118","Crtac1","eNeuron"
"1119","Rnf6","eNeuron"
"1120","Hspa4","eNeuron"
"1121","Hcn1","eNeuron"
"1122","Scamp1","eNeuron"
"1123","Slmap","eNeuron"
"1124","Fbxo9","eNeuron"
"1125","Spcs3","eNeuron"
"1126","Klhdc3","eNeuron"
"1127","Exd2","eNeuron"
"1128","Tspan5","eNeuron"
"1129","Amph","eNeuron"
"1130","Mras","eNeuron"
"1131","Chpf","eNeuron"
"1132","Armcx1","eNeuron"
"1133","Appl1","eNeuron"
"1134","Adss","eNeuron"
"1135","Fam131b","eNeuron"
"1136","Ccdc25","eNeuron"
"1137","Gars","eNeuron"
"1138","Wdr35","eNeuron"
"1139","Asphd2","eNeuron"
"1140","Kbtbd11","eNeuron"
"1141","Clec16a","eNeuron"
"1142","Bcl7a","eNeuron"
"1143","Pgs1","eNeuron"
"1144","Chid1","eNeuron"
"1145","Sel1l3","eNeuron"
"1146","Ndufaf5","eNeuron"
"1147","Adap1","eNeuron"
"1148","Prkar2b","eNeuron"
"1149","Nova2","eNeuron"
"1150","C2cd5","eNeuron"
"1151","Sqstm1","eNeuron"
"1152","Casd1","eNeuron"
"1153","Pcnx","eNeuron"
"1154","Bap1","eNeuron"
"1155","Epn1","eNeuron"
"1156","Dlgap2","eNeuron"
"1157","Cul2","eNeuron"
"1158","Ap2b1","eNeuron"
"1159","Uba1","eNeuron"
"1160","Atxn1","eNeuron"
"1161","Cuedc2","eNeuron"
"1162","Fuom","eNeuron"
"1163","Mapk8ip3","eNeuron"
"1164","Ralgps2","eNeuron"
"1165","Sgsm3","eNeuron"
"1166","Adarb1","eNeuron"
"1167","Cyth2","eNeuron"
"1168","Tcf20","eNeuron"
"1169","Wdr82","eNeuron"
"1170","Prkaa2","eNeuron"
"1171","Mapk14","eNeuron"
"1172","Adcy2","eNeuron"
"1173","Dctn2","eNeuron"
"1174","Plcxd2","eNeuron"
"1175","Arhgap33","eNeuron"
"1176","Usp5","eNeuron"
"1177","Ipo11","eNeuron"
"1178","Zmat3","eNeuron"
"1179","Lrp3","eNeuron"
"1180","Nudt18","eNeuron"
"1181","Stip1","eNeuron"
"1182","Med24","eNeuron"
"1183","Senp2","eNeuron"
"1184","Fyttd1","eNeuron"
"1185","Cry2","eNeuron"
"1186","Armcx2","eNeuron"
"1187","Rap1gap","eNeuron"
"1188","Ash1l","eNeuron"
"1189","Gabrb1","eNeuron"
"1190","Smap2","eNeuron"
"1191","Gas7","eNeuron"
"1192","Tmem178","eNeuron"
"1193","Otub1","eNeuron"
"1194","Prkaca","eNeuron"
"1195","Herc2","eNeuron"
"1196","Trim44","eNeuron"
"1197","Ubr3","eNeuron"
"1198","Adar","eNeuron"
"1199","Efhd2","eNeuron"
"1200","Ogfod1","eNeuron"
"1201","Dlat","eNeuron"
"1202","Pde4a","eNeuron"
"1203","Usp7","eNeuron"
"1204","Gpd1l","eNeuron"
"1205","Pak1ip1","eNeuron"
"1206","Zfand5","eNeuron"
"1207","Nmt2","eNeuron"
"1208","Fkbp8","eNeuron"
"1209","Tef","eNeuron"
"1210","Rad23b","eNeuron"
"1211","Lrrn3","eNeuron"
"1212","Slc4a8","eNeuron"
"1213","Grsf1","eNeuron"
"1214","Elp3","eNeuron"
"1215","Abcf2","eNeuron"
"1216","Mapre3","eNeuron"
"1217","Rab24","eNeuron"
"1218","Arhgef7","eNeuron"
"1219","Casc4","eNeuron"
"1220","Gcc2","eNeuron"
"1221","Rab11fip2","eNeuron"
"1222","Wdr13","eNeuron"
"1223","Dusp8","eNeuron"
"1224","Enpp5","eNeuron"
"1225","Trio","eNeuron"
"1226","Hspa4l","eNeuron"
"1227","Ruvbl1","eNeuron"
"1228","Kif3b","eNeuron"
"1229","Rabep1","eNeuron"
"1230","Anxa7","eNeuron"
"1231","Gnl3l","eNeuron"
"1232","Cinp","eNeuron"
"1233","Dhx36","eNeuron"
"1234","Ssbp2","eNeuron"
"1235","Cse1l","eNeuron"
"1236","Ube3c","eNeuron"
"1237","Atg9a","eNeuron"
"1238","Flrt1","eNeuron"
"1239","Braf","eNeuron"
"1240","Ppm1a","eNeuron"
"1241","Atxn7l3","eNeuron"
"1242","Tacc1","eNeuron"
"1243","Slc25a46","eNeuron"
"1244","Letm1","eNeuron"
"1245","Hars","eNeuron"
"1246","Abhd16a","eNeuron"
"1247","Fbxo33","eNeuron"
"1248","Lancl1","eNeuron"
"1249","Tssc1","eNeuron"
"1250","Ugcg","eNeuron"
"1251","Hs2st1","eNeuron"
"1252","Fmn2","eNeuron"
"1253","Eml5","eNeuron"
"1254","Dpp9","eNeuron"
"1255","Fam32a","eNeuron"
"1256","Tln2","eNeuron"
"1257","Tspyl1","eNeuron"
"1258","Caskin1","eNeuron"
"1259","Mrpl11","eNeuron"
"1260","Cbx5","eNeuron"
"1261","Kras","eNeuron"
"1262","Rc3h2","eNeuron"
"1263","Map3k12","eNeuron"
"1264","Oaz2","eNeuron"
"1265","Zfp148","eNeuron"
"1266","Mtf2","eNeuron"
"1267","Atg12","eNeuron"
"1268","Tnpo2","eNeuron"
"1269","Trak2","eNeuron"
"1270","Etl4","eNeuron"
"1271","Mboat7","eNeuron"
"1272","Ylpm1","eNeuron"
"1273","Dcaf5","eNeuron"
"1274","Atp13a2","eNeuron"
"1275","Dpp6","eNeuron"
"1276","B3gat3","eNeuron"
"1277","Supt6","eNeuron"
"1278","Tpp2","eNeuron"
"1279","Ikbkap","eNeuron"
"1280","Sorcs3","eNeuron"
"1281","Naa25","eNeuron"
"1282","Dennd5b","eNeuron"
"1283","Arrb1","eNeuron"
"1284","Slc25a44","eNeuron"
"1285","Elovl4","eNeuron"
"1286","Arfgef1","eNeuron"
"1287","Rabl6","eNeuron"
"1288","Zmiz2","eNeuron"
"1289","Vps41","eNeuron"
"1290","Numb","eNeuron"
"1291","Ppp1r11","eNeuron"
"1292","Armc1","eNeuron"
"1293","Fam49b","eNeuron"
"1294","Gde1","eNeuron"
"1295","Neurl4","eNeuron"
"1296","Prepl","eNeuron"
"1297","Npepps","eNeuron"
"1298","Zdhhc21","eNeuron"
"1299","Fbxo11","eNeuron"
"1300","Dab2ip","eNeuron"
"1301","Gopc","eNeuron"
"1302","Suds3","eNeuron"
"1303","Ecsit","eNeuron"
"1304","Jakmip2","eNeuron"
"1305","Ube3a","eNeuron"
"1306","Becn1","eNeuron"
"1307","Cops8","eNeuron"
"1308","Myadm","eNeuron"
"1309","Dcaf6","eNeuron"
"1310","Rab3gap1","eNeuron"
"1311","Eif1a","eNeuron"
"1312","Hnrnpd","eNeuron"
"1313","Clasp1","eNeuron"
"1314","Ppip5k1","eNeuron"
"1315","Strap","eNeuron"
"1316","Rhbdd2","eNeuron"
"1317","Dcun1d4","eNeuron"
"1318","Prpf19","eNeuron"
"1319","Ap1b1","eNeuron"
"1320","Extl3","eNeuron"
"1321","Cand1","eNeuron"
"1322","Tbrg1","eNeuron"
"1323","Mkrn1","eNeuron"
"1324","Gak","eNeuron"
"1325","Bri3bp","eNeuron"
"1326","Fbxl17","eNeuron"
"1327","Cab39","eNeuron"
"1328","Ddhd2","eNeuron"
"1329","Shisa5","eNeuron"
"1330","Sumo3","eNeuron"
"1331","Ipo9","eNeuron"
"1332","Cyld","eNeuron"
"1333","Usp32","eNeuron"
"1334","Trrap","eNeuron"
"1335","Dlg1","eNeuron"
"1336","Uba5","eNeuron"
"1337","Usp11","eNeuron"
"1338","Mfsd6","eNeuron"
"1339","Ubald1","eNeuron"
"1340","Aagab","eNeuron"
"1341","Trim3","eNeuron"
"1342","Cltb","eNeuron"
"1343","Rnmt","eNeuron"
"1344","Myo9a","eNeuron"
"1345","Abca3","eNeuron"
"1346","Lasp1","eNeuron"
"1347","Itfg1","eNeuron"
"1348","Gramd1a","eNeuron"
"1349","Tmem56","eNeuron"
"1350","Bet1l","eNeuron"
"1351","Vps33a","eNeuron"
"1352","Dctn1","eNeuron"
"1353","Ube2q1","eNeuron"
"1354","Pcdh10","eNeuron"
"1355","Dohh","eNeuron"
"1356","Lrpprc","eNeuron"
"1357","P4htm","eNeuron"
"1358","Fbxo25","eNeuron"
"1359","Zbtb7a","eNeuron"
"1360","Drosha","eNeuron"
"1361","Nr2c2","eNeuron"
"1362","Top2b","eNeuron"
"1363","Wbp11","eNeuron"
"1364","Arhgap1","eNeuron"
"1365","Foxk2","eNeuron"
"1366","Ube2j1","eNeuron"
"1367","Cul5","eNeuron"
"1368","Kif2a","eNeuron"
"1369","Dzip3","eNeuron"
"1370","Megf8","eNeuron"
"1371","Clptm1l","eNeuron"
"1372","Naa50","eNeuron"
"1373","Ndufaf3","eNeuron"
"1374","Ddx42","eNeuron"
"1375","Cd99l2","eNeuron"
"1376","Sod2","eNeuron"
"1377","Glyr1","eNeuron"
"1378","Ptbp2","eNeuron"
"1379","Stard7","eNeuron"
"1380","Pds5b","eNeuron"
"1381","Fmr1","eNeuron"
"1382","Mrpl49","eNeuron"
"1383","Srgap3","eNeuron"
"1384","Eftud2","eNeuron"
"1385","Armcx3","eNeuron"
"1386","Eif4h","eNeuron"
"1387","Uqcrc1","eNeuron"
"1388","Nsmf","eNeuron"
"1389","Hnrnpul2","eNeuron"
"1390","Ykt6","eNeuron"
"1391","Cul3","eNeuron"
"1392","Zc3h13","eNeuron"
"1393","Mark3","eNeuron"
"1394","Xpo7","eNeuron"
"1395","Trim33","eNeuron"
"1396","Extl2","eNeuron"
"1397","Ppp2r5e","eNeuron"
"1398","Pik3r1","eNeuron"
"1399","Arfgap1","eNeuron"
"1400","Tmem132b","eNeuron"
"1401","Agpat1","eNeuron"
"1402","Gripap1","eNeuron"
"1403","Prpf31","eNeuron"
"1404","Mrpl19","eNeuron"
"1405","Pam","eNeuron"
"1406","Cers4","eNeuron"
"1407","Mast3","eNeuron"
"1408","Higd1a","eNeuron"
"1409","Ipo4","eNeuron"
"1410","Exoc7","eNeuron"
"1411","Tsr2","eNeuron"
"1412","Slc30a4","eNeuron"
"1413","Efr3a","eNeuron"
"1414","Tmem222","eNeuron"
"1415","Ogdh","eNeuron"
"1416","Fam171b","eNeuron"
"1417","Stim1","eNeuron"
"1418","Tnpo3","eNeuron"
"1419","Man1a2","eNeuron"
"1420","Ppp2ca","eNeuron"
"1421","Arl8b","eNeuron"
"1422","Dalrd3","eNeuron"
"1423","Ndufs1","eNeuron"
"1424","Dcaf7","eNeuron"
"1425","Vezt","eNeuron"
"1426","Ipo5","eNeuron"
"1427","Cask","eNeuron"
"1428","Esf1","eNeuron"
"1429","Ehmt1","eNeuron"
"1430","Prpf8","eNeuron"
"1431","Pum1","eNeuron"
"1432","Bag6","eNeuron"
"1433","Soga3","eNeuron"
"1434","Atf6","eNeuron"
"1435","Eif4e","eNeuron"
"1436","Slc30a9","eNeuron"
"1437","Opa1","eNeuron"
"1438","Scamp5","eNeuron"
"1439","Rtcb","eNeuron"
"1440","Mlx","eNeuron"
"1441","Abl2","eNeuron"
"1442","Med13l","eNeuron"
"1443","Rraga","eNeuron"
"1444","Sppl3","eNeuron"
"1445","Ogt","eNeuron"
"1446","Atg13","eNeuron"
"1447","Usp9x","eNeuron"
"1448","Acp1","eNeuron"
"1449","Ddx50","eNeuron"
"1450","Phf20","eNeuron"
"1451","Etnk1","eNeuron"
"1452","Uggt1","eNeuron"
"1453","Fh1","eNeuron"
"1454","Kpna1","eNeuron"
"1455","Nucks1","eNeuron"
"1456","Eif5b","eNeuron"
"1457","Iqsec1","eNeuron"
"1458","Lrrtm2","eNeuron"
"1459","Clip3","eNeuron"
"1460","Psmd3","eNeuron"
"1461","Hnrnph2","eNeuron"
"1462","Crbn","eNeuron"
"1463","Nap1l3","eNeuron"
"1464","Tmem199","eNeuron"
"1465","Ube2n","eNeuron"
"1466","Cnot1","eNeuron"
"1467","Ptprf","eNeuron"
"1468","Pdhx","eNeuron"
"1469","Grpel1","eNeuron"
"1470","Abhd6","eNeuron"
"1471","Mog","Olig"
"1472","Ugt8a","Olig"
"1473","Cnp","Olig"
"1474","Gsn","Olig"
"1475","Tmem88b","Olig"
"1476","Mag","Olig"
"1477","Ermn","Olig"
"1478","Cldn11","Olig"
"1479","Tspan2","Olig"
"1480","Gpr37","Olig"
"1481","Elovl7","Olig"
"1482","Enpp2","Olig"
"1483","Cers2","Olig"
"1484","Mal","Olig"
"1485","Pllp","Olig"
"1486","Apod","Olig"
"1487","Car2","Olig"
"1488","Elovl1","Olig"
"1489","Efnb3","Olig"
"1490","Psat1","Olig"
"1491","Tmeff2","Olig"
"1492","Phldb1","Olig"
"1493","Slc48a1","Olig"
"1494","Bpgm","Olig"
"1495","Csrp1","Olig"
"1496","Slc12a2","Olig"
"1497","Grb14","Olig"
"1498","Tmem125","Olig"
"1499","Sirt2","Olig"
"1500","Gatm","Olig"
"1501","Gjc2","Olig"
"1502","Litaf","Olig"
"1503","Sypl","Olig"
"1504","Tmbim1","Olig"
"1505","Lpar1","Olig"
"1506","Plekhb1","Olig"
"1507","Ndrg1","Olig"
"1508","Pla2g16","Olig"
"1509","Eml1","Olig"
"1510","Npc2","Olig"
"1511","Wscd1","Olig"
"1512","Gltp","Olig"
"1513","Cd82","Olig"
"1514","Cyp51","Olig"
"1515","Agpat4","Olig"
"1516","Adamts4","Olig"
"1517","Efhd1","Olig"
"1518","Plekhh1","Olig"
"1519","Bcas1","Olig"
"1520","Gjb1","Olig"
"1521","Carhsp1","Olig"
"1522","Anln","Olig"
"1523","Galnt6","Olig"
"1524","Dock10","Olig"
"1525","Degs1","Olig"
"1526","B3galt5","Olig"
"1527","Unc5b","Olig"
"1528","Hapln2","Olig"
"1529","Aatk","Olig"
"1530","Ddr1","Olig"
"1531","Tmem63a","Olig"
"1532","Lgi3","Olig"
"1533","Cntn2","Olig"
"1534","St18","Olig"
"1535","Tubb4a","Olig"
"1536","Rhog","Olig"
"1537","Fah","Olig"
"1538","Cdc42ep2","Olig"
"1539","Nmral1","Olig"
"1540","Smco3","Olig"
"1541","Cdc42ep1","Olig"
"1542","Kcnj10","Olig"
"1543","Pcdh9","Olig"
"1544","Myo1d","Olig"
"1545","Abca2","Olig"
"1546","Enpp6","Olig"
"1547","Pcbp4","Olig"
"1548","Cpm","Olig"
"1549","Serinc5","Olig"
"1550","S1pr5","Olig"
"1551","Zdhhc9","Olig"
"1552","Dpy19l1","Olig"
"1553","Ttyh2","Olig"
"1554","Gal3st1","Olig"
"1555","Pigz","Olig"
"1556","Hhip","Olig"
"1557","Nipal4","Olig"
"1558","Fgfr2","Olig"
"1559","Slain1","Olig"
"1560","Ephb1","Olig"
"1561","Plxnb3","Olig"
"1562","Nkain1","Olig"
"1563","Fa2h","Olig"
"1564","Secisbp2l","Olig"
"1565","Asrgl1","Olig"
"1566","Papss1","Olig"
"1567","Pacs2","Olig"
"1568","Desi1","Olig"
"1569","Frmd8","Olig"
"1570","Chn2","Olig"
"1571","Srd5a1","Olig"
"1572","Gng12","Olig"
"1573","Prr5l","Olig"
"1574","Map7","Olig"
"1575","Ado","Olig"
"1576","Micall1","Olig"
"1577","Arrdc3","Olig"
"1578","Lrrn1","Olig"
"1579","Tmem151a","Olig"
"1580","Slc38a2","Olig"
"1581","Tjap1","Olig"
"1582","Prkcq","Olig"
"1583","Abhd4","Olig"
"1584","Pls1","Olig"
"1585","Edil3","Olig"
"1586","Tspan15","Olig"
"1587","Myrf","Olig"
"1588","Reep3","Olig"
"1589","Nfasc","Olig"
"1590","Itgb4","Olig"
"1591","Nrbp2","Olig"
"1592","Atp1b3","Olig"
"1593","Tmed10","Olig"
"1594","Sox10","Olig"
"1595","Tsc22d4","Olig"
"1596","Kndc1","Olig"
"1597","Sox2ot","Olig"
"1598","Npc1","Olig"
"1599","Tmcc3","Olig"
"1600","Piga","Olig"
"1601","Hadh","Olig"
"1602","Ccp110","Olig"
"1603","Plat","Olig"
"1604","Enpp4","Olig"
"1605","Polr3e","Olig"
"1606","Foxn3","Olig"
"1607","Gab1","Olig"
"1608","Elovl5","Olig"
"1609","Smim1","Olig"
"1610","Omg","Olig"
"1611","Efcab14","Olig"
"1612","Dip2a","Olig"
"1613","Sc5d","Olig"
"1614","Pcyt2","Olig"
"1615","Mid1ip1","Olig"
"1616","Clic4","Olig"
"1617","Ypel2","Olig"
"1618","Myo6","Olig"
"1619","Prr18","Olig"
"1620","Diablo","Olig"
"1621","Ppp2r3a","Olig"
"1622","Gprc5b","Olig"
"1623","Pex5l","Olig"
"1624","Plod1","Olig"
"1625","Elovl6","Olig"
"1626","Spg20","Olig"
"1627","Endod1","Olig"
"1628","Ptprd","Olig"
"1629","Otud7b","Olig"
"1630","Slc6a9","Olig"
"1631","Leprot","Olig"
"1632","Ppp1r16b","Olig"
"1633","Tyro3","Olig"
"1634","Ano4","Olig"
"1635","Idh1","Olig"
"1636","Dhcr24","Olig"
"1637","Ralgds","Olig"
"1638","Tmem229a","Olig"
"1639","Zdhhc20","Olig"
"1640","Txndc16","Olig"
"1641","Epn2","Olig"
"1642","Mon2","Olig"
"1643","Ctsa","Olig"
"1644","Usp54","Olig"
"1645","Hepacam","Olig"
"1646","Mcam","Olig"
"1647","Ttll7","Olig"
"1648","Tmod1","Olig"
"1649","Rab31","Olig"
"1650","Dnajb2","Olig"
"1651","Fdft1","Olig"
"1652","Rcbtb1","Olig"
"1653","Mpp5","Olig"
"1654","Pim3","Olig"
"1655","S100b","Olig"
"1656","Pex2","Olig"
"1657","Ankrd28","Olig"
"1658","Plcl1","Olig"
"1659","Sbds","Olig"
"1660","Map6d1","Olig"
"1661","Llgl1","Olig"
"1662","Adipor2","Olig"
"1663","Gpd1","Olig"
"1664","Ubl3","Olig"
"1665","Sema6a","Olig"
"1666","Cadm4","Olig"
"1667","Bnip3l","Olig"
"1668","Gpr155","Olig"
"1669","Etv1","Olig"
"1670","Clmn","Olig"
"1671","Arhgap23","Olig"
"1672","Plekha1","Olig"
"1673","Sqle","Olig"
"1674","Phlpp1","Olig"
"1675","Bin1","Olig"
"1676","Rhob","Olig"
"1677","Tulp4","Olig"
"1678","Slco3a1","Olig"
"1679","Tm7sf3","Olig"
"1680","Wnk1","Olig"
"1681","Picalm","Olig"
"1682","P4hb","Olig"
"1683","Ebp","Olig"
"1684","Plxdc2","Olig"
"1685","Atp11a","Olig"
"1686","Mapk8ip1","Olig"
"1687","Mat2a","Olig"
"1688","Dixdc1","Olig"
"1689","Cln8","Olig"
"1690","Ap3m1","Olig"
"1691","Limch1","Olig"
"1692","Hipk2","Olig"
"1693","Svip","Olig"
"1694","Zfp740","Olig"
"1695","Wls","Olig"
"1696","Map4k4","Olig"
"1697","Klhl2","Olig"
"1698","Pmp22","Olig"
"1699","Exoc6b","Olig"
"1700","Gnptab","Olig"
"1701","Pip4k2a","Olig"
"1702","Hs3st1","Olig"
"1703","Hmgcl","Olig"
"1704","Tpd52","Olig"
"1705","Acly","Olig"
"1706","Eef1d","Olig"
"1707","Adam17","Olig"
"1708","Sptlc1","Olig"
"1709","Cpd","Olig"
"1710","Psph","Olig"
"1711","Nsdhl","Olig"
"1712","Hsd17b4","Olig"
"1713","Slc6a8","Olig"
"1714","Cat","Olig"
"1715","Smad7","Olig"
"1716","Neo1","Olig"
"1717","Dact3","Olig"
"1718","Hmgcr","Olig"
"1719","Abcd3","Olig"
"1720","Pepd","Olig"
"1721","Bace1","Olig"
"1722","Phc2","Olig"
"1723","Agap1","Olig"
"1724","Daam1","Olig"
"1725","Tbc1d14","Olig"
"1726","Slc22a23","Olig"
"1727","Inf2","Olig"
"1728","M6pr","Olig"
"1729","Tbc1d15","Olig"
"1730","Cdk5","Olig"
"1731","Gas5","Olig"
"1732","Acap2","Olig"
"1733","Lmbrd1","Olig"
"1734","Fryl","Olig"
"1735","Dennd5a","Olig"
"1736","Fasn","Olig"
"1737","Nras","Olig"
"1738","Snx30","Olig"
"1739","Iars","Olig"
"1740","Inpp5f","Olig"
"1741","Samd8","Olig"
"1742","Itch","Olig"
"1743","Mvb12b","Olig"
"1744","Cept1","Olig"
"1745","Tkt","Olig"
"1746","Bicd2","Olig"
"1747","Tmem33","Olig"
"1748","Bub3","Olig"
"1749","Apbb2","Olig"
"1750","Fbxl5","Olig"
"1751","Dip2b","Olig"
"1752","Usp16","Olig"
"1753","Pdia4","Olig"
"1754","Derl2","Olig"
"1755","Kcna6","Olig"
"1756","Vldlr","Olig"
"1757","Fam13c","Olig"
"1758","Prkcz","Olig"
"1759","Map7d1","Olig"
"1760","Smim7","Olig"
"1761","Pigq","Olig"
"1762","Tmem9b","Olig"
"1763","Slc25a51","Olig"
"1764","Ptk2","Olig"
"1765","Ing4","Olig"
"1766","Add1","Olig"
"1767","Tmed7","Olig"
"1768","Igsf8","Olig"
"1769","Rap2a","Olig"
"1770","Fcrls","microglia"
"1771","Laptm5","microglia"
"1772","Csf1r","microglia"
"1773","F13a1","microglia"
"1774","C3ar1","microglia"
"1775","Mrc1","microglia"
"1776","Fcgr1","microglia"
"1777","Pld4","microglia"
"1778","Cd36","microglia"
"1779","Cd14","microglia"
"1780","Gpr183","microglia"
"1781","Cd86","microglia"
"1782","C5ar1","microglia"
"1783","Stab1","microglia"
"1784","Ccr1","microglia"
"1785","Cybb","microglia"
"1786","Nckap1l","microglia"
"1787","Plek","microglia"
"1788","Cx3cr1","microglia"
"1789","Lyve1","microglia"
"1790","Txnip","microglia"
"1791","Adrb2","microglia"
"1792","Hk2","microglia"
"1793","Unc93b1","microglia"
"1794","Tgfbi","microglia"
"1795","Dab2","microglia"
"1796","Abca9","microglia"
"1797","Slco2b1","microglia"
"1798","Maf","microglia"
"1799","Zfp36","microglia"
"1800","Cd83","microglia"
"1801","Ehd4","microglia"
"1802","Fcgrt","microglia"
"1803","Grn","microglia"
"1804","Zfp36l1","microglia"
"1805","Nfkbiz","microglia"
"1806","Lcp1","microglia"
"1807","Abca1","microglia"
"1808","Ctsd","microglia"
"1809","Cp","microglia"
"1810","Man2b1","microglia"
"1811","Ctsh","microglia"
"1812","Igfbp4","microglia"
"1813","Serinc3","microglia"
"1814","Slc40a1","microglia"
"1815","Hexa","microglia"
"1816","Rin2","microglia"
"1817","Stk17b","microglia"
"1818","Atf3","microglia"
"1819","Lgmn","microglia"
"1820","Tcn2","microglia"
"1821","Cd164","microglia"
"1822","Ctsz","microglia"
"1823","Cmtm6","microglia"
"1824","Nfkbia","microglia"
"1825","Gas6","microglia"
"1826","Ctsa","microglia"
"1827","Zfp36l2","microglia"
"1828","Zfhx3","microglia"
"1829","Igf1","microglia"
"1830","Snx5","microglia"
"1831","Stard8","microglia"
"1832","Dusp1","microglia"
"1833","Scamp2","microglia"
"1834","Btg2","microglia"
"1835","Nfe2l2","microglia"
"1836","Ptbp3","microglia"
"1837","Asah1","microglia"
"1838","Ppp1r15a","microglia"
"1839","Pltp","microglia"
"1840","Ly6e","microglia"
"1841","Rgs2","microglia"
"1842","Klf4","microglia"
"1843","Ier5","microglia"
"1844","Mfsd1","microglia"
"1845","Fosb","microglia"
"1846","Btg1","microglia"
"1847","Gns","microglia"
"1848","Pmp22","microglia"
"1849","Dusp6","microglia"
"1850","Npc2","microglia"
"1851","Mbnl1","microglia"
"1852","Cyfip1","microglia"
"1853","Tln1","microglia"
"1854","Arsb","microglia"
"1855","Mcl1","microglia"
"1856","Hnrnpf","microglia"
"1857","Fcho2","microglia"
"1858","Ptbp1","microglia"
"1859","Gatm","microglia"
"1860","Dazap2","microglia"
"1861","Jmjd1c","microglia"
"1862","Lrp1","microglia"
"1863","Efhd2","microglia"
"1864","Rhob","microglia"
"1865","Slc3a2","microglia"
"1866","M6pr","microglia"
"1867","Ddx3x","microglia"
"1868","Esam","endoMural"
"1869","Cldn5","endoMural"
"1870","Tm4sf1","endoMural"
"1871","Flt1","endoMural"
"1872","Pecam1","endoMural"
"1873","Fn1","endoMural"
"1874","Cd93","endoMural"
"1875","Slc22a8","endoMural"
"1876","Serpinh1","endoMural"
"1877","Cav1","endoMural"
"1878","Ptprb","endoMural"
"1879","Tek","endoMural"
"1880","Tmem204","endoMural"
"1881","Ackr3","endoMural"
"1882","Pltp","endoMural"
"1883","Apold1","endoMural"
"1884","Kdr","endoMural"
"1885","Wwtr1","endoMural"
"1886","Tagln2","endoMural"
"1887","Eng","endoMural"
"1888","Podxl","endoMural"
"1889","Arap3","endoMural"
"1890","Epas1","endoMural"
"1891","Col4a1","endoMural"
"1892","Col4a2","endoMural"
"1893","Palmd","endoMural"
"1894","Msn","endoMural"
"1895","Vwa1","endoMural"
"1896","Cyr61","endoMural"
"1897","Slc7a5","endoMural"
"1898","Ablim1","endoMural"
"1899","Klf4","endoMural"
"1900","Slco1c1","endoMural"
"1901","Ctsh","endoMural"
"1902","Prom1","endoMural"
"1903","Fcgrt","endoMural"
"1904","Sgms1","endoMural"
"1905","Ccdc141","endoMural"
