"","cellname","cluster","celltype","nUMI"
"X1772058177_G09","X1772058177_G09",1,"iNeuron",5392
"X1772071015_H07","X1772071015_H07",1,"iNeuron",18429
"X1772062109_H07","X1772062109_H07",1,"iNeuron",8752
"X1772071014_A06","X1772071014_A06",1,"iNeuron",2536
"X1772071015_A11","X1772071015_A11",1,"iNeuron",5158
"X1772071015_C09","X1772071015_C09",1,"iNeuron",4280
"X1772063071_A06","X1772063071_A06",1,"iNeuron",1775
"X1772058148_F09","X1772058148_F09",1,"iNeuron",3019
"X1772067066_H09","X1772067066_H09",1,"iNeuron",2898
"X1772067065_G10","X1772067065_G10",1,"iNeuron",2689
"X1772071015_A05","X1772071015_A05",1,"iNeuron",2867
"X1772067065_B10","X1772067065_B10",1,"iNeuron",2808
"X1772067065_A01","X1772067065_A01",1,"iNeuron",2796
"X1772062128_F10","X1772062128_F10",1,"iNeuron",3826
"X1772071017_H06","X1772071017_H06",1,"iNeuron",6543
"X1772071014_A12","X1772071014_A12",1,"iNeuron",4825
"X1772067065_F08","X1772067065_F08",1,"iNeuron",2558
"X1772058148_H04","X1772058148_H04",1,"iNeuron",3042
"X1772063077_H05","X1772063077_H05",1,"iNeuron",2839
"X1772067065_B12","X1772067065_B12",1,"iNeuron",1975
"X1772067065_G11","X1772067065_G11",1,"iNeuron",4849
"X1772067066_A10","X1772067066_A10",1,"iNeuron",3655
"X1772067066_E02","X1772067066_E02",1,"iNeuron",3903
"X1772067066_A11","X1772067066_A11",1,"iNeuron",4242
"X1772067065_B09","X1772067065_B09",1,"iNeuron",3141
"X1772067065_F10","X1772067065_F10",1,"iNeuron",3240
"X1772063063_H03","X1772063063_H03",1,"iNeuron",3642
"X1772071017_A01","X1772071017_A01",1,"iNeuron",6376
"X1772067066_D04","X1772067066_D04",1,"iNeuron",4061
"X1772067065_G12","X1772067065_G12",1,"iNeuron",2629
"X1772071017_G05","X1772071017_G05",1,"iNeuron",4648
"X1772071017_D12","X1772071017_D12",1,"iNeuron",6140
"X1772071015_A01","X1772071015_A01",1,"iNeuron",4901
"X1772071017_H10","X1772071017_H10",1,"iNeuron",5861
"X1772063070_B10","X1772063070_B10",1,"iNeuron",4073
"X1772063065_C02","X1772063065_C02",1,"iNeuron",1815
"X1772071015_E10","X1772071015_E10",1,"iNeuron",3941
"X1772062115_H01","X1772062115_H01",1,"iNeuron",3414
"X1772071041_B06","X1772071041_B06",1,"iNeuron",2202
"X1772071015_F05","X1772071015_F05",1,"iNeuron",4701
"X1772062115_G06","X1772062115_G06",1,"iNeuron",2016
"X1772071015_G09","X1772071015_G09",1,"iNeuron",4588
"X1772071017_G02","X1772071017_G02",1,"iNeuron",4910
"X1772062111_C11","X1772062111_C11",1,"iNeuron",3746
"X1772058148_H03","X1772058148_H03",1,"iNeuron",4248
"X1772071017_C10","X1772071017_C10",1,"iNeuron",3379
"X1772071014_B10","X1772071014_B10",1,"iNeuron",4727
"X1772062128_G06","X1772062128_G06",1,"iNeuron",2593
"X1772063068_F12","X1772063068_F12",1,"iNeuron",2865
"X1772063074_E11","X1772063074_E11",1,"iNeuron",2478
